"StateName","State","Single","SEX","CountWithWeight","TotalCountWithWeight","Perc","ActualPop","ExpectedCount2015"
"District of Columbia","DC","Single","Female",220655,646449,34,672228,228558
"District of Columbia","DC","Single","Male",178557,646449,28,672228,188224
"Rhode Island","RI","Single","Female",261967,1051511,25,1056298,264074
"New York","NY","Single","Female",4869445,19651127,25,19795791,4948948
"Mississippi","MS","Single","Female",712178,2991207,24,2992333,718160
"Massachusetts","MA","Single","Female",1602853,6692824,24,6794422,1630661
"Maryland","MD","Single","Female",1397670,5928814,24,6006401,1441536
"Louisiana","LA","Single","Female",1110488,4625470,24,4670724,1120974
"Florida","FL","Single","Female",4703868,19552860,24,20271272,4865105
"Vermont","VT","Single","Female",141429,626630,23,626042,143990
"South Carolina","SC","Single","Female",1111115,4774839,23,4896146,1126114
"Pennsylvania","PA","Single","Female",2958861,12773801,23,12802503,2944576
"Ohio","OH","Single","Female",2607939,11570808,23,11613423,2671087
"North Carolina","NC","Single","Female",2220549,9848060,23,10042802,2309844
"New Mexico","NM","Single","Female",478567,2085287,23,2085109,479575
"Maine","ME","Single","Female",299996,1328302,23,1329328,305745
"Georgia","GA","Single","Female",2280865,9992167,23,10214860,2349418
"Delaware","DE","Single","Female",217379,925749,23,945934,217565
"Connecticut","CT","Single","Female",828939,3596080,23,3590886,825904
"Alabama","AL","Single","Female",1119102,4833722,23,4858979,1117565
"West Virginia","WV","Single","Female",406167,1854304,22,1844128,405708
"Virginia","VA","Single","Female",1799092,8260405,22,8382993,1844258
"Tennessee","TN","Single","Female",1437748,6495978,22,6600299,1452066
"Oregon","OR","Single","Female",852770,3930065,22,4028977,886375
"New Jersey","NJ","Single","Female",1992584,8899339,22,8958013,1970763
"Nevada","NV","Single","Female",606602,2790136,22,2890845,635986
"Nevada","NV","Single","Male",601908,2790136,22,2890845,635986
"Missouri","MO","Single","Female",1308091,6044171,22,6083672,1338408
"Michigan","MI","Single","Female",2225210,9895622,22,9922576,2182967
"Illinois","IL","Single","Female",2871907,12882135,22,12859995,2829199
"California","CA","Single","Female",8569231,38332521,22,39144818,8611860
"Arizona","AZ","Single","Female",1437026,6626624,22,6828065,1502174
"Alaska","AK","Single","Male",163833,735132,22,738432,162455
"Wisconsin","WI","Single","Female",1187671,5742713,21,5771337,1211981
"Washington","WA","Single","Female",1438721,6971406,21,7170351,1505774
"Vermont","VT","Single","Male",130856,626630,21,626042,131469
"Texas","TX","Single","Female",5474629,26448193,21,27469114,5768514
"Rhode Island","RI","Single","Male",224257,1051511,21,1056298,221823
"Oklahoma","OK","Single","Female",797834,3850568,21,3911338,821381
"New York","NY","Single","Male",4125815,19651127,21,19795791,4157116
"New Mexico","NM","Single","Male",440392,2085287,21,2085109,437873
